Date,open,high,low,close,volume,net_worth,shares_owned,buy,sell,SP500
2013-01-02,17.061829461008656,17.098182363141646,16.68628645953054,16.914260864257812,560518000,1000.0,0.0,0.0,0.0,122.8944091796875
2013-01-03,16.878829281520495,16.933974788637272,16.666873558922447,16.700761795043945,352965200,1000.0,0.0,0.0,0.0,122.61670684814453
2013-01-04,16.542714299158042,16.59385513171195,16.199518065072386,16.235563278198242,594333600,1000.0,0.0,0.0,0.0,123.15522003173828
2013-01-07,16.081527517785386,16.30642183830535,15.872036489620388,16.14006233215332,484156400,1000.0,0.0,0.0,0.0,122.81864166259766
2013-01-08,16.303657608085327,16.386222060226306,16.058430556587656,16.183507919311523,458707200,1000.0,0.0,0.0,0.0,122.46526336669922
2013-01-09,16.096932028509325,16.174259457710953,15.896374960542111,15.930572509765623,407604400,1000.0,0.0,0.0,0.0,122.77658081054688
2013-01-10,16.28332611104055,16.288563101779793,15.881904107411753,16.1280574798584,601146000,1000.0,0.0,0.0,0.0,123.75261688232422
2013-01-11,16.050724489032863,16.18381278155926,15.989725002750056,16.029159545898438,350506800,1000.0,0.0,0.0,0.0,123.74417114257812
2013-01-14,15.486337951597482,15.634831269995892,15.357871232553617,15.457688331604004,734207600,1000.0,0.0,0.0,0.0,123.66004180908203
2013-01-15,15.351388491248912,15.37264575689825,14.891739608762732,14.96999168395996,876772400,1000.0,0.0,0.0,0.0,123.74417114257812
2013-01-16,15.238638242084702,15.69459029870961,15.172711079843396,15.591383934020996,690804800,1000.0,0.0,0.0,0.0,123.72734832763672
2013-01-17,15.72138655996466,15.734942179972952,15.466301019187195,15.486324310302734,453678400,1000.0,0.0,0.0,0.0,124.52668762207031
2013-01-18,15.358172342353212,15.47216036709206,15.29286051616662,15.403768539428713,472922800,1000.0,0.0,0.0,0.0,124.8043441772461
2013-01-22,15.54424612908708,15.64652616856927,15.299942196929878,15.550715446472168,461546400,1000.0,0.0,0.0,0.0,125.47745513916016
2013-01-23,15.675178169888312,15.865568939297525,15.550716197390528,15.83537769317627,861509600,1000.0,0.0,0.0,0.0,125.67938995361328
2013-01-24,14.17146455708351,14.347992048947969,13.871090423390088,13.878793716430664,1460852400,1000.0,0.0,0.0,0.0,125.71309661865234
2013-01-25,13.915456078064292,14.05532137548671,13.401277654297155,13.551618576049805,1208026400,1000.0,0.0,0.0,0.0,126.41986083984375
2013-01-28,13.488462587436436,13.962281764675602,13.42777159333292,13.858152389526367,785517600,1000.0,0.0,0.0,0.0,126.26842498779297
2013-01-29,14.12525609174972,14.177629282117042,13.92870361497002,14.118169784545898,571158000,1000.0,0.0,0.0,0.0,126.76478576660156
2013-01-30,14.079043752375355,14.251566612529338,14.002025617310144,14.073806762695312,417155200,1000.0,0.0,0.0,0.0,126.26842498779297
2013-01-31,14.07842510515943,14.149281575349216,14.01681028251193,14.03252124786377,319334400,1000.0,0.0,0.0,0.0,125.9570541381836
2013-02-01,14.144047130109133,14.155445767404014,13.812558699447534,13.974913597106934,539484400,1000.0,0.0,0.0,0.0,127.25276947021484
2013-02-04,13.983848939663096,14.04638843800184,13.616931409085788,13.626790046691896,477117200,1000.0,0.0,0.0,0.0,125.82240295410156
2013-02-05,13.68008612031665,14.163457128679688,13.623708274404898,14.1049222946167,573347600,1000.0,0.0,0.0,0.0,127.09295654296875
